2024-01-01 00:00:00,1,20
2024-01-01 00:01:00,2,15
2024-01-01 00:02:00,3,18
2024-01-01 00:03:00,4,22
2024-01-01 00:04:00,5,25
2024-01-01 00:05:00,6,20
2024-01-01 00:06:00,7,15
2024-01-01 00:07:00,8,18
2024-01-01 00:08:00,9,22
2024-01-01 00:09:00,10,25
2024-01-01 00:10:00,1,16
2024-01-01 00:11:00,2,19
2024-01-01 00:12:00,3,23
2024-01-01 00:13:00,4,27
2024-01-01 00:14:00,5,24
2024-01-01 00:15:00,6,21
2024-01-01 00:16:00,7,28
2024-01-01 00:17:00,8,30
2024-01-01 00:18:00,9,18
2024-01-01 00:19:00,10,20
2024-01-01 00:20:00,1,32
2024-01-01 00:21:00,2,24
2024-01-01 00:22:00,3,17
2024-01-01 00:23:00,4,28
2024-01-01 00:24:00,5,19
2024-01-01 00:25:00,6,22
2024-01-01 00:26:00,7,25
2024-01-01 00:27:00,8,29
2024-01-01 00:28:00,9,26
2024-01-01 00:29:00,10,31
2024-01-01 00:30:00,1,27
2024-01-01 00:31:00,2,20
2024-01-01 00:32:00,3,29
2024-01-01 00:33:00,4,26
2024-01-01 00:34:00,5,23
2024-01-01 00:35:00,6,33
2024-01-01 00:36:00,7,28
2024-01-01 00:37:00,8,21
2024-01-01 00:38:00,9,27
2024-01-01 00:39:00,10,30
2024-01-01 00:40:00,1,25
2024-01-01 00:41:00,2,34
2024-01-01 00:42:00,3,29
2024-01-01 00:43:00,4,22
2024-01-01 00:44:00,5,28
2024-01-01 00:45:00,6,35
2024-01-01 00:46:00,7,32
2024-01-01 00:47:00,8,26
2024-01-01 00:48:00,9,30
2024-01-01 00:49:00,10,32
2024-01-01 00:50:00,1,30
2024-01-01 00:51:00,2,35
2024-01-01 00:52:00,3,27
2024-01-01 00:53:00,4,36
2024-01-01 00:54:00,5,33
2024-01-01 00:55:00,6,28
2024-01-01 00:56:00,7,31
2024-01-01 00:57:00,8,37
2024-01-01 00:58:00,9,29
2024-01-01 00:59:00,10,38
2024-01-01 01:00:00,1,22
